"","ListenerGroup","mTurkCode","ItemNum","Resp","Timing_Click.Count","Timing_First.Click","Timing_Last.Click","Timing_Page.Submit"
"1","V2",1316157,"X1","An extremely strong
foreign accent
9","1","0.696","0.696","0.798"
"61","V2",2174606,"X1","An extremely strong
foreign accent
9","1","0.139","0.139","0.161"
"121","V2",2218028,"X1","An extremely strong
foreign accent
9","1","0.371","0.371","0.38"
"181","V2",2620688,"X1","An extremely strong
foreign accent
9","1","0.104","0.104","0.144"
"241","V2",3410389,"X1","An extremely strong
foreign accent
9","1","0.129","0.129","0.175"
"301","V2",3485279,"X1","An extremely strong
foreign accent
9","1","2.048","2.048","2.076"
"361","V2",3855539,"X1","


5","1","1.475","1.475","1.401"
"421","V2",3927255,"X1","


7","1","0.556","0.556","0.562"
"481","V2",4464430,"X1","An extremely strong
foreign accent
9","1","0.473","0.473","0.401"
"541","V2",5641834,"X1","


8","1","0.823","0.823","0.846"
"601","V2",5721779,"X1","


8","1","0.331","0.331","0.338"
"661","V2",7348964,"X1","


3","1","0.718","0.718","0.736"
"721","V2",7723805,"X1","An extremely strong
foreign accent
9","1","0.639","0.639","0.652"
"781","V2",7914282,"X1","


6","1","0.93","0.93","0.946"
"841","V2",8728142,"X1","


8","1","0.371","0.371","0.379"
"901","V2",9087447,"X1","


6","1","1.141","1.141","1.152"
"961","V2",9827116,"X1","


6","1","1.738","1.738","1.747"
"1021","V2",9896160,"X1","


8","1","0.286","0.286","0.3"
"1081","V2",9919213,"X1","


7","1","0.702","0.702","0.648"
"2","V2",1316157,"X10","An extremely strong
foreign accent
9","1","0.107","0.107","0.173"
"62","V2",2174606,"X10","An extremely strong
foreign accent
9","1","1.428","1.428","1.448"
"122","V2",2218028,"X10","An extremely strong
foreign accent
9","1","1.862","1.862","1.871"
"182","V2",2620688,"X10","An extremely strong
foreign accent
9","1","0.334","0.334","0.359"
"242","V2",3410389,"X10","


8","1","0.103","0.103","0.304"
"302","V2",3485279,"X10","


8","1","1.704","1.704","1.72"
"362","V2",3855539,"X10","


5","1","1.435","1.435","1.465"
"422","V2",3927255,"X10","


3","1","0.37","0.37","0.376"
"482","V2",4464430,"X10","


8","1","0.078","0.078","0"
"542","V2",5641834,"X10","


6","1","1.735","1.735","1.75"
"602","V2",5721779,"X10","An extremely strong
foreign accent
9","1","0.413","0.413","0.419"
"662","V2",7348964,"X10","


2","1","2.094","2.094","2.13"
"722","V2",7723805,"X10","An extremely strong
foreign accent
9","1","0.503","0.503","0.533"
"782","V2",7914282,"X10","


6","1","0.592","0.592","0.501"
"842","V2",8728142,"X10","


6","1","0.357","0.357","0.367"
"902","V2",9087447,"X10","


7","1","1.102","1.102","1.114"
"962","V2",9827116,"X10","


7","1","2.812","2.812","2.822"
"1022","V2",9896160,"X10","


7","1","2.024","2.024","2.042"
"1082","V2",9919213,"X10","


6","1","1.042","1.042","1.006"
"3","V2",1316157,"X11","An extremely strong
foreign accent
9","1","1.675","1.675","1.602"
"63","V2",2174606,"X11","An extremely strong
foreign accent
9","1","0.609","0.609","0.629"
"123","V2",2218028,"X11","


8","1","0.389","0.389","0.4"
"183","V2",2620688,"X11","


7","1","2.098","2.098","2.122"
"243","V2",3410389,"X11","


8","1","1.755","1.755","1.792"
"303","V2",3485279,"X11","An extremely strong
foreign accent
9","1","1.028","1.028","1.042"
"363","V2",3855539,"X11","


6","1","4.182","4.182","4.217"
"423","V2",3927255,"X11","


7","1","0.111","0.111","0.118"
"483","V2",4464430,"X11","


8","1","0.031","0.031","0"
"543","V2",5641834,"X11","


7","1","0.769","0.769","0.784"
"603","V2",5721779,"X11","


8","1","0.302","0.302","0.31"
"663","V2",7348964,"X11","


7","1","0.972","0.972","0.992"
"723","V2",7723805,"X11","An extremely strong
foreign accent
9","1","0.245","0.245","0.274"
"783","V2",7914282,"X11","


7","1","0.755","0.755","0.774"
"843","V2",8728142,"X11","


8","1","1.918","1.918","1.928"
"903","V2",9087447,"X11","


8","1","0.892","0.892","0.802"
"963","V2",9827116,"X11","


7","1","1.088","1.088","1.099"
"1023","V2",9896160,"X11","


7","1","0.986","0.986","0.901"
"1083","V2",9919213,"X11","


5","1","0.717","0.717","0.772"
"4","V2",1316157,"X12","An extremely strong
foreign accent
9","1","0.114","0.114","0.159"
"64","V2",2174606,"X12","An extremely strong
foreign accent
9","1","0.493","0.493","0.4"
"124","V2",2218028,"X12","An extremely strong
foreign accent
9","1","0.32","0.32","0.328"
"184","V2",2620688,"X12","


8","2","0.053","0.462","0.401"
"244","V2",3410389,"X12","


7","1","0.008","0.008","0"
"304","V2",3485279,"X12","An extremely strong
foreign accent
9","1","0.621","0.621","0.637"
"364","V2",3855539,"X12","


7","1","5.966","5.966","5.996"
"424","V2",3927255,"X12","


7","1","0.165","0.165","0.171"
"484","V2",4464430,"X12","


7","1","0","0","0.199"
"544","V2",5641834,"X12","


3","1","1.477","1.477","1.5"
"604","V2",5721779,"X12","


7","1","0.382","0.382","0.39"
