"","ItemNumber","listener_group","ProductionPresentationOrder","SentenceOrder","Type","Type_Num","Source","SourceNum","SentenceCorrect","Talker","TalkerGroup","Sound","ListenerGroup","Duration..in.seconds.","mTurkCode","ItemNum","ItemNum2","Resp","Resp_NUM","Timing_Click.Count","Timing_First.Click","Timing_Last.Click","Timing_Page.Submit","RT","WhichRT","zscore_Resp_NUM"
"1",1,"V2",1,14,"BKB","BKB29","BKB-R","8_15","The three girls are listening.",103,"NativeMandarin-Low (NML)","103_practice_01.mp3","V2",3834,"1316157","X1",1,"An extremely strong
foreign accent
9",9,1,0.696,0.696,0.798,0.696,"FirstClick",1.10695065736704
"2",3,"V2",3,3,"BKB","BKB7","BKB-R","7_8","The young people are dancing.",103,"NativeMandarin-Low (NML)","103_practice_03.mp3","V2",3834,"1316157","X3",3,"An extremely strong
foreign accent
9",9,1,0.151,0.151,0.101,0.151,"FirstClick",1.10695065736704
"3",4,"V2",4,12,"BKB","BKB21","BKB-R","8_7","The ball broke the window.",103,"NativeMandarin-Low (NML)","103_practice_04.mp3","V2",3834,"1316157","X4",4,"An extremely strong
foreign accent
9",9,1,0.009,0.009,0.096,0.009,"FirstClick",1.10695065736704
"4",5,"V2",5,9,"BKB","BKB15","BKB-R","8_1","The boy forgot his book.",103,"NativeMandarin-Low (NML)","103_practice_05.mp3","V2",3834,"1316157","X5",5,"An extremely strong
foreign accent
9",9,1,0.324,0.324,0.3,0.324,"FirstClick",1.10695065736704
"5",6,"V2",6,5,"BKB","BKB9","BKB-R","7_10","They had two empty bottles.",103,"NativeMandarin-Low (NML)","103_practice_06.mp3","V2",3834,"1316157","X6",6,"An extremely strong
foreign accent
9",9,1,0.737,0.737,0.792,0.737,"FirstClick",1.10695065736704
"6",7,"V2",7,15,"BKB","BKB30","BKB-R","8_16","The coat is on the chair.",103,"NativeMandarin-Low (NML)","103_practice_07.mp3","V2",3834,"1316157","X7",7,"An extremely strong
foreign accent
9",9,1,0.038,0.038,0,0.038,"FirstClick",1.10695065736704
"7",8,"V2",8,8,"BKB","BKB14","BKB-R","7_16","The new road is on the map. ",103,"NativeMandarin-Low (NML)","103_practice_08.mp3","V2",3834,"1316157","X8",8,"


8",8,2,4.801,5.496,5.592,5.496,"LastClick",0.836962692155565
"8",9,"V2",9,11,"BKB","BKB20","BKB-R","8_6","The jug is on the shelf.",103,"NativeMandarin-Low (NML)","103_practice_09.mp3","V2",3834,"1316157","X9",9,"An extremely strong
foreign accent
9",9,1,3.312,3.312,3.371,3.312,"FirstClick",1.10695065736704
"9",10,"V2",10,6,"BKB","BKB12","BKB-R","7_13","The girl has a picture book.",103,"NativeMandarin-Low (NML)","103_practice_10.mp3","V2",3834,"1316157","X10",10,"An extremely strong
foreign accent
9",9,1,0.107,0.107,0.173,0.107,"FirstClick",1.10695065736704
"10",11,"V2",11,7,"BKB","BKB13","BKB-R","7_14","The orange was very sweet.",103,"NativeMandarin-Low (NML)","103_practice_11.mp3","V2",3834,"1316157","X11",11,"An extremely strong
foreign accent
9",9,1,1.675,1.675,1.602,1.675,"FirstClick",1.10695065736704
